tvec,S,E,I1,I2,I3,D,R
0.0,0.734000027179718,0.0,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.08336807042360306,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.16673614084720612,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.25010421872138977,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.33347228169441223,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.4168403446674347,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.5002084374427795,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.583576500415802,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.6669445633888245,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.7503126263618469,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.8336806893348694,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
0.9170487523078918,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.000416874885559,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.0837849378585815,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.167153000831604,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.2505210638046265,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.333889126777649,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
1.4172571897506714,0.7319999933242798,0.0020000000949949026,0.0020000000949949026,0.0,0.0,0.0,0.2639999985694885
