date,median,95_ci,05_ci,param,age_group,num_diseased
2020-03-06,1.0233582437615316,1.0257771484594973,1.0209071121171618,contact_rate,0-19,72.0
2020-03-07,1.0233984460683807,1.0258088942636483,1.0207321213786307,contact_rate,0-19,72.0
2020-03-08,1.0233988750511185,1.0260272562687682,1.0206857871094364,contact_rate,0-19,72.0
2020-03-09,1.023422160046061,1.026329773675343,1.0205091578957544,contact_rate,0-19,72.0
2020-03-10,1.0234344719099302,1.0265676138244577,1.0203882632003012,contact_rate,0-19,72.0
2020-03-11,1.023521798731115,1.0267510677885017,1.0203017123083673,contact_rate,0-19,72.0
2020-03-12,1.0235742638837149,1.0271136973596435,1.020117622238123,contact_rate,0-19,72.0
2020-03-13,1.0236627573044847,1.0273034341292446,1.0200955419468074,contact_rate,0-19,72.0
2020-03-14,1.0237572799679955,1.0276503637037402,1.0199284282816723,contact_rate,0-19,72.0
2020-03-15,1.0238564273521673,1.0278796112962867,1.0199195859191306,contact_rate,0-19,72.0
2020-03-16,1.0239493114082836,1.0281647154973443,1.0198152108581162,contact_rate,0-19,72.0
2020-03-17,1.0239899161805885,1.028453376205173,1.0199759477571708,contact_rate,0-19,72.0
2020-03-18,1.0241123673159676,1.0288051865102301,1.0198557396314036,contact_rate,0-19,72.0
2020-03-19,1.024187642190774,1.0287906702468754,1.0197169680910005,contact_rate,0-19,72.0
2020-03-20,1.024074860583342,1.0288432951900406,1.0196783807952285,contact_rate,0-19,72.0
2020-03-21,1.0241682645539998,1.0289650236427295,1.019235814383004,contact_rate,0-19,72.0
2020-03-22,1.0240916783184968,1.0292262338672054,1.0191149125083458,contact_rate,0-19,72.0
2020-03-23,1.0240521062020003,1.0294402015559527,1.0189582175568965,contact_rate,0-19,72.0
2020-03-24,1.023915703135168,1.0294386919481222,1.0188201814430586,contact_rate,0-19,72.0
2020-03-25,1.0240016403958019,1.0296967825028192,1.019048716047953,contact_rate,0-19,72.0
2020-03-26,1.0239266106901448,1.029686306518232,1.0186646796279752,contact_rate,0-19,72.0
2020-03-27,1.0238775345420073,1.0296862764994472,1.0185149758538934,contact_rate,0-19,72.0
2020-03-28,1.0238685075256093,1.0297979164348785,1.0186573393087213,contact_rate,0-19,72.0
2020-03-29,1.0237809124715176,1.0301073283466506,1.0185180615802747,contact_rate,0-19,72.0
2020-03-30,1.0240783508837494,1.0304532043228798,1.0185104512787069,contact_rate,0-19,72.0
2020-03-31,1.0241885438573701,1.0303959443242916,1.0188734373030397,contact_rate,0-19,72.0
2020-04-01,1.0242423872373974,1.0306584147330091,1.0187630444695857,contact_rate,0-19,72.0
2020-04-02,1.0244855694437098,1.031135192470476,1.018631376112252,contact_rate,0-19,72.0
2020-04-03,1.024479180819084,1.0311879725844315,1.0186684828180772,contact_rate,0-19,72.0
2020-04-04,1.0244510833508378,1.031376591908296,1.0186019566600941,contact_rate,0-19,72.0
2020-04-05,1.0242418155619637,1.0313232314446046,1.0179913323183096,contact_rate,0-19,72.0
2020-04-06,1.0246215234439293,1.0317768147299897,1.0183002301186799,contact_rate,0-19,72.0
2020-04-07,1.0240962741407684,1.0312163127371767,1.0176304137103411,contact_rate,0-19,72.0
2020-04-08,1.025700049666569,1.0323352578767988,1.019180740487504,contact_rate,0-19,72.0
2020-04-09,1.0246801430850612,1.0319481664067625,1.0180381061537813,contact_rate,0-19,72.0
2020-04-10,1.025726209722741,1.0330449634530066,1.019173259344722,contact_rate,0-19,72.0
2020-04-11,1.0239653943703115,1.0312263162951723,1.017428516920133,contact_rate,0-19,72.0
2020-04-12,1.0230453516964186,1.030232701040959,1.016184102137954,contact_rate,0-19,72.0
2020-04-13,1.0218791539256555,1.0288893294726378,1.0150560175630436,contact_rate,0-19,72.0
2020-04-14,1.02129561948624,1.0284326054863377,1.0145506105842572,contact_rate,0-19,72.0
2020-04-15,1.0206039623253749,1.0274354184414913,1.0134426576887674,contact_rate,0-19,72.0
2020-04-16,1.0202651661179556,1.0271971462757878,1.013233913293145,contact_rate,0-19,72.0
2020-04-17,1.0201605495197534,1.0270933034276526,1.0127743318582896,contact_rate,0-19,72.0
2020-04-18,1.0207977019267371,1.0278169130784558,1.0136546889991094,contact_rate,0-19,72.0
2020-04-19,1.021424796394422,1.0288063889945886,1.0140103345679168,contact_rate,0-19,72.0
2020-04-20,1.0208631126147243,1.028368936007418,1.0138831766549292,contact_rate,0-19,72.0
2020-04-21,1.0210132820011606,1.0290034108822377,1.0137381603387459,contact_rate,0-19,72.0
2020-04-22,1.0210856097872778,1.0287581314412173,1.0137913872126751,contact_rate,0-19,72.0
2020-04-23,1.0207414941593638,1.0286289031748177,1.0133591874361203,contact_rate,0-19,72.0
2020-04-24,1.0214961301430532,1.0297106643436433,1.014231674198347,contact_rate,0-19,72.0
2020-04-25,1.0212440912058485,1.0291613871320209,1.0135909312635372,contact_rate,0-19,72.0
2020-04-26,1.0206464752328217,1.0286624549587082,1.0132408573888978,contact_rate,0-19,72.0
2020-04-27,1.02141663822656,1.0292787311651974,1.013971166991258,contact_rate,0-19,72.0
2020-04-28,1.0215226553164627,1.0293354374266586,1.01370599222724,contact_rate,0-19,72.0
2020-04-29,1.0219056867681884,1.0300261406284217,1.0147267016608374,contact_rate,0-19,72.0
2020-04-30,1.021587019204579,1.0297769383420945,1.0143075151619818,contact_rate,0-19,72.0
2020-05-01,1.0229469685953547,1.031129932132477,1.0153117015208397,contact_rate,0-19,72.0
2020-05-02,1.0209604399937975,1.0291756344541982,1.0135238046985753,contact_rate,0-19,72.0
2020-05-03,1.021145885116182,1.0294017617154276,1.0141110835595915,contact_rate,0-19,72.0
2020-05-04,1.0210544379472841,1.0294215800504043,1.0134897786489985,contact_rate,0-19,72.0
