Secretaría de Educación Certificada,Sexo,Total,Total,Total,Preescolar,Preescolar,Preescolar,Basica_primaria,Basica_primaria,Basica_primaria,Basica_secundaria,Basica_secundaria,Basica_secundaria,Media,Media,Media,CLEI,CLEI,CLEI
Secretaría de Educación Certificada,Sexo,Total,Oficial,No oficial,Total,Oficial,No oficial,Total,Oficial,No oficial,Total,Oficial,No oficial,Total,Oficial,No oficial,Total,Oficial,No oficial
Distrital de Bogotá,Total,64354,33001,31353,9701,3789,5912,22662,11567,11095,19927,11700,8227,10147,5421,4726,1917,524,1393
Distrital de Bogotá,Hombres,19607,10142,9465,453,143,310,4075,2000,2075,8853,5056,3797,5227,2689,2538,999,254,745
Distrital de Bogotá,Mujeres,44747,22859,21888,9248,3646,5602,18587,9567,9020,11074,6644,4430,4920,2732,2188,918,270,648
